datetime,hora,temp_ar,umidade,vento_vel,precipitacao,pressao,hora_num,mes,ESTACAO_ID
2024-01-08 20:00:00,20:00,31.6,43.0,2.3,0.0,967.5,20,1,petrolina
2024-01-08 21:00:00,21:00,30.5,49.0,3.0,0.0,967.7,21,1,petrolina
2024-01-08 22:00:00,22:00,29.2,57.0,1.5,0.0,968.0,22,1,petrolina
2024-01-08 23:00:00,23:00,29.43181818181818,55.90909090909091,1.540909090909091,0.0,967.9636363636364,23,1,petrolina
2024-01-09 00:00:00,00:00,29.663636363636364,54.81818181818182,1.5818181818181818,0.0,967.9272727272727,0,1,petrolina
2024-01-09 01:00:00,01:00,29.895454545454545,53.72727272727273,1.6227272727272728,0.0,967.8909090909091,1,1,petrolina
2024-01-09 02:00:00,02:00,30.127272727272725,52.63636363636364,1.6636363636363636,0.0,967.8545454545455,2,1,petrolina
2024-01-09 03:00:00,03:00,30.35909090909091,51.54545454545455,1.7045454545454546,0.0,967.8181818181819,3,1,petrolina
2024-01-09 04:00:00,04:00,30.59090909090909,50.45454545454545,1.7454545454545454,0.0,967.7818181818182,4,1,petrolina
2024-01-09 05:00:00,05:00,30.82272727272727,49.36363636363637,1.7863636363636364,0.0,967.7454545454545,5,1,petrolina
2024-01-09 06:00:00,06:00,31.054545454545455,48.27272727272727,1.8272727272727272,0.0,967.709090909091,6,1,petrolina
2024-01-09 07:00:00,07:00,31.286363636363635,47.18181818181818,1.8681818181818182,0.0,967.6727272727273,7,1,petrolina
2024-01-09 08:00:00,08:00,31.518181818181816,46.09090909090909,1.9090909090909092,0.0,967.6363636363636,8,1,petrolina
2024-01-09 09:00:00,09:00,31.75,45.0,1.95,0.0,967.6,9,1,petrolina
2024-01-09 10:00:00,10:00,31.98181818181818,43.90909090909091,1.990909090909091,0.0,967.5636363636364,10,1,petrolina
2024-01-09 11:00:00,11:00,32.21363636363636,42.81818181818182,2.0318181818181817,0.0,967.5272727272727,11,1,petrolina
2024-01-09 12:00:00,12:00,32.445454545454545,41.72727272727273,2.0727272727272728,0.0,967.4909090909091,12,1,petrolina
2024-01-09 13:00:00,13:00,32.67727272727272,40.63636363636364,2.1136363636363638,0.0,967.4545454545455,13,1,petrolina
2024-01-09 14:00:00,14:00,32.90909090909091,39.54545454545455,2.1545454545454543,0.0,967.4181818181819,14,1,petrolina
2024-01-09 15:00:00,15:00,33.14090909090909,38.45454545454545,2.1954545454545453,0.0,967.3818181818182,15,1,petrolina
2024-01-09 16:00:00,16:00,33.37272727272727,37.36363636363636,2.2363636363636363,0.0,967.3454545454546,16,1,petrolina
2024-01-09 17:00:00,17:00,33.60454545454545,36.27272727272727,2.2772727272727273,0.0,967.309090909091,17,1,petrolina
2024-01-09 18:00:00,18:00,33.836363636363636,35.18181818181819,2.3181818181818183,0.0,967.2727272727274,18,1,petrolina
2024-01-09 19:00:00,19:00,34.06818181818181,34.09090909090909,2.359090909090909,0.0,967.2363636363636,19,1,petrolina
2024-01-09 20:00:00,20:00,34.3,33.0,2.4,0.0,967.2,20,1,petrolina
2024-01-09 21:00:00,21:00,33.4,36.0,2.4,0.0,966.8,21,1,petrolina
2024-01-09 22:00:00,22:00,32.666666666666664,38.666666666666664,2.033333333333333,0.0,967.0666666666666,22,1,petrolina
2024-01-09 23:00:00,23:00,31.933333333333334,41.333333333333336,1.6666666666666665,0.0,967.3333333333334,23,1,petrolina
2024-01-10 00:00:00,00:00,31.2,44.0,1.3,0.0,967.6,0,1,petrolina
2024-01-10 01:00:00,01:00,30.0,53.0,5.3,0.0,968.6,1,1,petrolina
2024-01-10 02:00:00,02:00,28.7,59.0,3.4,0.0,968.9,2,1,petrolina
2024-01-10 03:00:00,03:00,27.7,63.0,5.0,0.0,968.9,3,1,petrolina
2024-01-10 04:00:00,04:00,27.1,68.0,4.3,0.0,968.9,4,1,petrolina
2024-01-10 05:00:00,05:00,26.7,69.0,3.9,0.0,969.1,5,1,petrolina
2024-01-10 06:00:00,06:00,26.5,69.0,3.2,0.0,968.9,6,1,petrolina
2024-01-10 07:00:00,07:00,25.8,70.0,4.3,0.0,969.3,7,1,petrolina
2024-01-10 08:00:00,08:00,25.5,71.0,3.5,0.0,969.7,8,1,petrolina
2024-01-10 09:00:00,09:00,25.4,72.0,2.9,0.0,970.4,9,1,petrolina
2024-01-10 10:00:00,10:00,26.5,67.0,2.5,0.0,970.9,10,1,petrolina
2024-01-10 11:00:00,11:00,27.7,63.0,3.7,0.0,971.0,11,1,petrolina
2024-01-10 12:00:00,12:00,28.66,59.6,3.5,0.0,970.66,12,1,petrolina
2024-01-10 13:00:00,13:00,29.62,56.2,3.3000000000000003,0.0,970.3199999999999,13,1,petrolina
2024-01-10 14:00:00,14:00,30.58,52.8,3.1,0.0,969.98,14,1,petrolina
2024-01-10 15:00:00,15:00,31.54,49.4,2.9000000000000004,0.0,969.64,15,1,petrolina
2024-01-10 16:00:00,16:00,32.5,46.0,2.7,0.0,969.3,16,1,petrolina
2024-01-10 17:00:00,17:00,33.1,42.0,2.0,0.0,968.3,17,1,petrolina
2024-01-10 18:00:00,18:00,33.9,39.0,2.5,0.0,967.3,18,1,petrolina
2024-01-10 19:00:00,19:00,34.2,38.0,3.2,0.0,966.7,19,1,petrolina
2024-01-10 20:00:00,20:00,33.5,39.0,2.8,0.0,966.4,20,1,petrolina
2024-01-10 21:00:00,21:00,32.8,42.0,2.5,0.0,966.9,21,1,petrolina
2024-01-10 22:00:00,22:00,32.1,44.0,1.9,0.0,967.1,22,1,petrolina
2024-01-10 23:00:00,23:00,31.8,44.0,1.9,0.0,967.7,23,1,petrolina
2024-01-11 00:00:00,00:00,31.0,49.0,3.6,0.0,968.8,0,1,petrolina
2024-01-11 01:00:00,01:00,27.8,68.0,4.0,0.0,969.6,1,1,petrolina
2024-01-11 02:00:00,02:00,27.6,70.0,3.5,0.0,969.8,2,1,petrolina
2024-01-11 03:00:00,03:00,27.5,69.0,3.6,0.0,970.0,3,1,petrolina
2024-01-11 04:00:00,04:00,27.3,69.0,4.8,0.0,970.2,4,1,petrolina
2024-01-11 05:00:00,05:00,26.9,71.0,2.7,0.0,969.2,5,1,petrolina
2024-01-11 06:00:00,06:00,26.6,72.0,3.3,0.0,968.8,6,1,petrolina
2024-01-11 07:00:00,07:00,25.3,74.0,4.2,0.0,968.8,7,1,petrolina
2024-01-11 08:00:00,08:00,24.8,76.0,3.9,0.0,969.8,8,1,petrolina
2024-01-11 09:00:00,09:00,24.8,78.0,3.6,0.0,971.0,9,1,petrolina
2024-01-11 10:00:00,10:00,25.8,76.0,2.7,0.0,971.6,10,1,petrolina
2024-01-11 11:00:00,11:00,26.1,72.0,4.8,0.0,971.9,11,1,petrolina
2024-01-11 12:00:00,12:00,26.9,69.0,3.3,0.0,972.0,12,1,petrolina
2024-01-11 13:00:00,13:00,28.8,61.0,3.9,0.0,971.5,13,1,petrolina
2024-01-11 14:00:00,14:00,29.6,59.0,3.9,0.0,970.6,14,1,petrolina
2024-01-11 15:00:00,15:00,30.5,56.0,4.0,0.0,969.8,15,1,petrolina
2024-01-11 16:00:00,16:00,32.8,48.0,4.3,0.0,968.8,16,1,petrolina
2024-01-11 17:00:00,17:00,33.5,43.0,4.1,0.0,968.0,17,1,petrolina
2024-01-11 18:00:00,18:00,33.2,43.0,3.2,0.0,967.2,18,1,petrolina
2024-01-11 19:00:00,19:00,33.2,43.0,3.4,0.0,966.8,19,1,petrolina
2024-01-11 20:00:00,20:00,33.3,42.0,3.4,0.0,966.5,20,1,petrolina
2024-01-11 21:00:00,21:00,32.4,45.0,2.8,0.0,966.7,21,1,petrolina
2024-01-11 22:00:00,22:00,31.4,48.0,2.6,0.0,967.2,22,1,petrolina
2024-01-11 23:00:00,23:00,30.8,50.0,2.4,0.0,967.5,23,1,petrolina
2024-01-12 00:00:00,00:00,29.9,54.0,1.8,0.0,968.2,0,1,petrolina
2024-01-12 01:00:00,01:00,29.4,56.0,2.1,0.0,968.3,1,1,petrolina
2024-01-12 02:00:00,02:00,28.4,59.0,2.7,0.0,968.5,2,1,petrolina
2024-01-12 03:00:00,03:00,27.4,67.0,3.1,0.0,968.7,3,1,petrolina
2024-01-12 04:00:00,04:00,26.4,70.0,3.3,0.0,968.6,4,1,petrolina
2024-01-12 05:00:00,05:00,25.4,72.0,3.5,0.0,968.5,5,1,petrolina
2024-01-12 06:00:00,06:00,24.8,73.0,2.9,0.0,968.7,6,1,petrolina
